Country Name,Country Code,2019 GDP (USD$),2019 Population,Life Expectancy at Birth
Nicaragua,NIC,12520915291,6545502,74.275
Netherlands,NLD,9.07051E+11,17332850,81.81219512
Norway,NOR,4.03336E+11,5347896,82.75853659
Nepal,NPL,30641380604,28608710,70.478
Nauru,NRU,118223430.1,12581,
New Zealand,NZL,2.06929E+11,4917000,81.85853659
OECD members,OED,5.36994E+13,1359963500,80.07752959
Oman,OMN,76331518669,4974986,77.633
Other small states,OSS,4.32093E+11,31360407,68.5469317
Pakistan,PAK,2.78222E+11,216565318,67.114
Panama,PAN,66800800000,4246439,78.329
Peru,PER,2.26848E+11,32510453,76.516
Philippines,PHL,3.76796E+11,108116615,71.095
Palau,PLW,268354919.4,18008,
Papua New Guinea,PNG,24829107011,8776109,64.263
Poland,POL,5.95858E+11,37970874,77.60243902
Pre-demographic dividend,PRE,1.40379E+12,944902749,60.8209563
Puerto Rico,PRI,1.04989E+11,3193694,79.77819512
"Korea, Dem. People’s Rep.",PRK,,25666161,72.095
Portugal,PRT,2.38785E+11,10269417,81.32439024
Paraguay,PRY,38145288940,7044636,74.131
West Bank and Gaza,PSE,,4685306,73.895
Pacific island small states,PSS,10634784073,2493696,69.92905797
Post-demographic dividend,PST,5.07699E+13,1112914457,80.659892
French Polynesia,PYF,,279287,77.462
Qatar,QAT,1.75838E+11,2832067,80.1
Romania,ROU,2.50077E+11,19356544,75.35853659
Russian Federation,RUS,1.69988E+12,144373535,72.65731707
Rwanda,RWA,10354417725,12626950,68.7
South Asia,SAS,3.59184E+12,1835776742,69.41224765
Saudi Arabia,SAU,7.92967E+11,34268528,74.998
Sudan,SDN,30513456085,42813238,65.095
Senegal,SEN,23578084052,16296364,67.665
Singapore,SGP,3.72063E+11,5703569,83.14634146
Solomon Islands,SLB,1589913622,669823,72.835
Sierra Leone,SLE,4121733705,7813215,54.309
El Salvador,SLV,27022640000,6453553,73.096
San Marino,SMR,,33860,
Somalia,SOM,,15442905,57.068
Serbia,SRB,51475016532,6944975,75.8902439
Sub-Saharan Africa (excluding high income),SSA,1.75118E+12,1105594562,61.25653313
South Sudan,SSD,,11062113,57.604
Sub-Saharan Africa,SSF,1.76694E+12,1106957898,61.27301465
Small states,SST,5.20457E+11,41255486,69.54113246
Sao Tome and Principe,STP,418637389,215056,70.17
Suriname,SUR,3697371950,581363,71.57
Slovak Republic,SVK,1.0508E+11,5454073,77.26585366
Slovenia,SVN,54174227309,2087946,81.37804878
Sweden,SWE,5.30884E+11,10285453,82.55853659
Eswatini,SWZ,4471598727,1148130,59.401
Sint Maarten (Dutch part),SXM,,40733,
Seychelles,SYC,1703387387,97625,72.84146341
Syrian Arab Republic,SYR,,17070135,71.779
Turks and Caicos Islands,TCA,1197415000,38191,
Chad,TCD,11314951343,15946876,53.977
East Asia & Pacific (IDA & IBRD countries),TEA,1.71189E+13,2067984156,75.24922911
Europe & Central Asia (IDA & IBRD countries),TEC,4.15516E+12,460799505,74.0376029
Togo,TGO,5490272413,8082366,60.76
Thailand,THA,5.43549E+11,69625582,76.931
Tajikistan,TJK,8116626794,9321018,70.879
Turkmenistan,TKM,,5942089,68.073
Latin America & the Caribbean (IDA & IBRD countries),TLA,5.48796E+12,630644772,75.3574155
Timor-Leste,TLS,2017924900,1293119,69.26
Middle East & North Africa (IDA & IBRD countries),TMN,,384771780,73.58364281
Tonga,TON,512350059.4,104494,70.801
South Asia (IDA & IBRD),TSA,3.59184E+12,1835776742,69.41224765
Sub-Saharan Africa (IDA & IBRD countries),TSS,1.76694E+12,1106957898,61.27301465
Trinidad and Tobago,TTO,24269714810,1394973,73.38
Tunisia,TUN,38796687568,11694719,76.505
Turkey,TUR,7.61425E+11,83429615,77.437
Tuvalu,TUV,47271463.33,11646,
Tanzania,TZA,63177068175,58005463,65.015
Uganda,UGA,35165157017,44269594,62.973
Ukraine,UKR,1.53781E+11,44385155,71.58268293
Upper middle income,UMC,2.57418E+13,2855862780,75.32898498
Uruguay,URY,56045912953,3461734,77.77
United States,USA,2.14332E+13,328239523,78.53902439
Uzbekistan,UZB,57921286440,33580650,71.573
St. Vincent and the Grenadines,VCT,824718518.5,110589,72.415
"Venezuela, RB",VEN,,28515829,72.128
British Virgin Islands,VGB,,30030,
Virgin Islands (U.S.),VIR,,106631,79.56829268
Vietnam,VNM,2.61921E+11,96462106,75.317
Vanuatu,VUT,934239973.8,299882,70.323
World,WLD,8.77346E+13,7673533974,72.56328189
Samoa,WSM,852250191,197097,73.187
Kosovo,XKX,7926133714,1794248,72.19512195
"Yemen, Rep.",YEM,22581081994,29161922,66.096
South Africa,ZAF,3.51432E+11,58558270,63.857
Zambia,ZMB,23309773923,17861030,63.51
Zimbabwe,ZWE,21440758800,14645468,61.195
